SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1488609	GSM1488609	GSE60785	Cancer	Luminal A	NA
GSM1488610	GSM1488610	GSE60785	Cancer	Luminal A	NA
GSM1488611	GSM1488611	GSE60785	Cancer	Luminal A	NA
GSM1488612	GSM1488612	GSE60785	Cancer	TNBC	NA
GSM1488613	GSM1488613	GSE60785	Cancer	Luminal A	NA
GSM1488615	GSM1488615	GSE60785	Cancer	Luminal A	NA
GSM1488617	GSM1488617	GSE60785	Cancer	Luminal A	NA
GSM1488618	GSM1488618	GSE60785	Cancer	Luminal A	NA
GSM1488619	GSM1488619	GSE60785	Cancer	TNBC	NA
GSM1488620	GSM1488620	GSE60785	Cancer	Luminal A	NA
GSM1488621	GSM1488621	GSE60785	Cancer	TNBC	NA
GSM1488622	GSM1488622	GSE60785	Cancer	TNBC	NA
GSM1488623	GSM1488623	GSE60785	Cancer	Luminal A	NA
GSM1488624	GSM1488624	GSE60785	Cancer	TNBC	NA
GSM1488625	GSM1488625	GSE60785	Cancer	Luminal A	NA
GSM1488626	GSM1488626	GSE60785	Cancer	Luminal A	NA
GSM1488627	GSM1488627	GSE60785	Cancer	Luminal A	NA
GSM1488628	GSM1488628	GSE60785	Cancer	Luminal A	NA
GSM1488629	GSM1488629	GSE60785	Cancer	Luminal A	NA
GSM1488630	GSM1488630	GSE60785	Cancer	Luminal A	NA
GSM1488631	GSM1488631	GSE60785	Cancer	TNBC	NA
GSM1488632	GSM1488632	GSE60785	Cancer	Luminal A	NA
GSM1488633	GSM1488633	GSE60785	Cancer	Luminal B	NA
GSM1488635	GSM1488635	GSE60785	Cancer	Luminal B	NA
GSM1488637	GSM1488637	GSE60785	Cancer	TNBC	NA
GSM1488638	GSM1488638	GSE60785	Cancer	Luminal A	NA
GSM1488639	GSM1488639	GSE60785	Cancer	Luminal A	NA
GSM1488640	GSM1488640	GSE60785	Cancer	Luminal A	NA
GSM1488641	GSM1488641	GSE60785	Cancer	TNBC	NA
GSM1488642	GSM1488642	GSE60785	Cancer	Luminal A	NA
GSM1488643	GSM1488643	GSE60785	Cancer	Luminal A	NA
GSM1488644	GSM1488644	GSE60785	Cancer	Luminal A	NA
GSM1488645	GSM1488645	GSE60785	Cancer	Luminal B	NA
GSM1488646	GSM1488646	GSE60785	Cancer	Luminal A	NA
GSM1488647	GSM1488647	GSE60785	Cancer	Her2	NA
GSM1488648	GSM1488648	GSE60785	Cancer	Luminal A	NA
GSM1488649	GSM1488649	GSE60785	Cancer	Luminal A	NA
GSM1488650	GSM1488650	GSE60785	Cancer	Luminal A	NA
GSM1488651	GSM1488651	GSE60785	Cancer	Luminal A	NA
GSM1488652	GSM1488652	GSE60785	Cancer	TNBC	NA
GSM1488653	GSM1488653	GSE60785	Cancer	Luminal A	NA
GSM1488655	GSM1488655	GSE60785	Cancer	TNBC	NA
GSM1488656	GSM1488656	GSE60785	Cancer	TNBC	NA
GSM1488657	GSM1488657	GSE60785	Cancer	Luminal A	NA
GSM1488658	GSM1488658	GSE60785	Cancer	Luminal A	NA
GSM1488659	GSM1488659	GSE60785	Cancer	TNBC	NA
GSM1488661	GSM1488661	GSE60785	Cancer	Luminal A	NA
GSM1488662	GSM1488662	GSE60785	Cancer	Luminal A	NA
GSM1488663	GSM1488663	GSE60785	Cancer	Luminal A	NA
