SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1588970_BC16_ARN0076_s1h1s1_U133p2.CEL.gz	GSM1588970	GSE65194	Cancer	TNBC	NA
GSM1588971_BC04_ARN0025_s1h1s1_U133p2.CEL.gz	GSM1588971	GSE65194	Cancer	TNBC	NA
GSM1588972_BC16_ARN0043_s1h1s1_U133p2.CEL.gz	GSM1588972	GSE65194	Cancer	Her2	NA
GSM1588973_BC04_ARN0026_s1h1s1_U133p2.CEL.gz	GSM1588973	GSE65194	Cancer	Her2	NA
GSM1588974_BC04_ARN0027_s1h1s1_U133p2.CEL.gz	GSM1588974	GSE65194	Cancer	TNBC	Yes
GSM1588975_BC04_ARN0028_s1h1s1_U133p2.CEL.gz	GSM1588975	GSE65194	Cancer	TNBC	NA
GSM1588976_BC04_ARN0001_s1h1s1_U133p2.CEL.gz	GSM1588976	GSE65194	Cancer	TNBC	NA
GSM1588977_BC16_ARN0062_s1h1s1_U133p2.CEL.gz	GSM1588977	GSE65194	Cancer	TNBC	NA
GSM1588978_BC04_ARN0002_s1h1s1_U133p2.CEL.gz	GSM1588978	GSE65194	Cancer	TNBC	NA
GSM1588979_BC04_ARN0029_s1h1s1_U133p2.CEL.gz	GSM1588979	GSE65194	Cancer	TNBC	NA
GSM1588980_BC04_ARN0030_s1h1s1_U133p2.CEL.gz	GSM1588980	GSE65194	Cancer	TNBC	NA
GSM1588981_BC04_ARN0003_s1h1s1_U133p2.CEL.gz	GSM1588981	GSE65194	Cancer	Her2	NA
GSM1588982_BC16_ARN0035_s1h1s1_U133p2.CEL.gz	GSM1588982	GSE65194	Cancer	TNBC	NA
GSM1588983_BC04_ARN0031_s1h1s1_U133p2.CEL.gz	GSM1588983	GSE65194	Cancer	TNBC	NA
GSM1588984_BC04_ARN0032_s2h1s1_U133p2.CEL.gz	GSM1588984	GSE65194	Cancer	TNBC	NA
GSM1588985_BC04_ARN0033_s2h2s1_U133p2.CEL.gz	GSM1588985	GSE65194	Cancer	TNBC	NA
GSM1588986_BC16_ARN0110_s1h1s1_U133p2.CEL.gz	GSM1588986	GSE65194	Cancer	TNBC	NA
GSM1588987_BC04_ARN0004_s1h1s1_U133p2.CEL.gz	GSM1588987	GSE65194	Cancer	TNBC	NA
GSM1588988_BC04_ARN0034_s2h1s1_U133p2.CEL.gz	GSM1588988	GSE65194	Cancer	TNBC	NA
GSM1588989_BC16_ARN0103_s1h1s1_U133p2.CEL.gz	GSM1588989	GSE65194	Cancer	Her2	NA
GSM1588990_BC04_ARN0005_s1h1s1_U133p2.CEL.gz	GSM1588990	GSE65194	Cancer	Her2	NA
GSM1588991_BC16_ARN0063_s1h1s1_U133p2.CEL.gz	GSM1588991	GSE65194	Cancer	Her2	NA
GSM1588992_BC04_ARN0036_s1h1s1_U133p2.CEL.gz	GSM1588992	GSE65194	Cancer	Her2	NA
GSM1588993_BC16_ARN0102_s1h1s1_U133p2.CEL.gz	GSM1588993	GSE65194	Cancer	TNBC	Yes
GSM1588994_BC04_ARN0038_s1h1s1_U133p2.CEL.gz	GSM1588994	GSE65194	Cancer	TNBC	Yes
GSM1588995_BC16_ARN0096_s1h1s1_U133p2.CEL.gz	GSM1588995	GSE65194	Cancer	TNBC	NA
GSM1588996_BC04_ARN0039_s1h1s1_U133p2.CEL.gz	GSM1588996	GSE65194	Cancer	TNBC	NA
GSM1588997_BC04_ARN0040_s1h1s1_U133p2.CEL.gz	GSM1588997	GSE65194	Cancer	Her2	NA
GSM1588998_BC16_ARN0050_s1h1s1_U133p2.CEL.gz	GSM1588998	GSE65194	Cancer	Her2	NA
GSM1588999_BC04_ARN0041_s1h1s1_U133p2.CEL.gz	GSM1588999	GSE65194	Cancer	Her2	NA
GSM1589000_BC16_ARN0097_s1h1s1_U133p2.CEL.gz	GSM1589000	GSE65194	Cancer	Her2	NA
GSM1589001_BC04_ARN0006_s1h1s1_U133p2.CEL.gz	GSM1589001	GSE65194	Cancer	Her2	NA
GSM1589002_BC04_ARN0042_s1h1s1_U133p2.CEL.gz	GSM1589002	GSE65194	Cancer	Her2	NA
GSM1589003_BC04_ARN0043_s1h1s1_U133p2.CEL.gz	GSM1589003	GSE65194	Cancer	TNBC	NA
GSM1589004_BC04_ARN0007_s1h1s1_U133p2.CEL.gz	GSM1589004	GSE65194	Cancer	TNBC	NA
GSM1589005_BC04_ARN0044_s2h1s1_U133p2.CEL.gz	GSM1589005	GSE65194	Cancer	TNBC	NA
GSM1589006_BC16_ARN0131_s1h1s1_U133p2.CEL.gz	GSM1589006	GSE65194	Cancer	Her2	NA
GSM1589007_BC04_ARN0045_s1h1s1_U133p2.CEL.gz	GSM1589007	GSE65194	Cancer	Her2	NA
GSM1589008_BC04_ARN0046_s1h1s1_U133p2.CEL.gz	GSM1589008	GSE65194	Cancer	Her2	NA
GSM1589009_BC16_ARN0049_s1h1s1_U133p2.CEL.gz	GSM1589009	GSE65194	Cancer	TNBC	NA
GSM1589010_BC04_ARN0008_s1h1s1_U133p2.CEL.gz	GSM1589010	GSE65194	Cancer	TNBC	NA
GSM1589011_BC04_ARN0047_s2h1s1_U133p2.CEL.gz	GSM1589011	GSE65194	Cancer	TNBC	NA
GSM1589012_BC04_ARN0009_s1h1s1_U133p2.CEL.gz	GSM1589012	GSE65194	Cancer	TNBC	NA
