SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1415983.CEL.gz	GSM1415983	GSE58644	Cancer	Luminal A	NA
GSM1415985.CEL.gz	GSM1415985	GSE58644	Cancer	Luminal A	NA
GSM1415986.CEL.gz	GSM1415986	GSE58644	Cancer	Luminal B	NA
GSM1415987.CEL.gz	GSM1415987	GSE58644	Cancer	Luminal A	NA
GSM1415988.CEL.gz	GSM1415988	GSE58644	Cancer	Luminal A	NA
GSM1415989.CEL.gz	GSM1415989	GSE58644	Cancer	Luminal A	NA
GSM1415990.CEL.gz	GSM1415990	GSE58644	Cancer	Luminal A	NA
GSM1415991.CEL.gz	GSM1415991	GSE58644	Cancer	Luminal A	NA
GSM1415992.CEL.gz	GSM1415992	GSE58644	Cancer	TNBC	NA
GSM1415993.CEL.gz	GSM1415993	GSE58644	Cancer	Luminal B	NA
GSM1415994.CEL.gz	GSM1415994	GSE58644	Cancer	Her2	NA
GSM1415995.CEL.gz	GSM1415995	GSE58644	Cancer	Her2	NA
GSM1415996.CEL.gz	GSM1415996	GSE58644	Cancer	Luminal B	NA
GSM1415997.CEL.gz	GSM1415997	GSE58644	Cancer	TNBC	NA
GSM1415998.CEL.gz	GSM1415998	GSE58644	Cancer	Luminal A	NA
GSM1415999.CEL.gz	GSM1415999	GSE58644	Cancer	Her2	NA
GSM1416000.CEL.gz	GSM1416000	GSE58644	Cancer	Luminal A	NA
GSM1416001.CEL.gz	GSM1416001	GSE58644	Cancer	Luminal A	NA
GSM1416002.CEL.gz	GSM1416002	GSE58644	Cancer	Luminal A	NA
GSM1416003.CEL.gz	GSM1416003	GSE58644	Cancer	Luminal B	NA
GSM1416004.CEL.gz	GSM1416004	GSE58644	Cancer	Luminal A	NA
GSM1416005.CEL.gz	GSM1416005	GSE58644	Cancer	Luminal A	NA
GSM1416006.CEL.gz	GSM1416006	GSE58644	Cancer	Luminal A	NA
GSM1416007.CEL.gz	GSM1416007	GSE58644	Cancer	TNBC	Yes
GSM1416008.CEL.gz	GSM1416008	GSE58644	Cancer	Luminal A	NA
GSM1416009.CEL.gz	GSM1416009	GSE58644	Cancer	Luminal A	NA
GSM1416010.CEL.gz	GSM1416010	GSE58644	Cancer	Her2	NA
GSM1416011.CEL.gz	GSM1416011	GSE58644	Cancer	Luminal B	NA
GSM1416012.CEL.gz	GSM1416012	GSE58644	Cancer	Luminal B	NA
GSM1416013.CEL.gz	GSM1416013	GSE58644	Cancer	Her2	NA
GSM1416014.CEL.gz	GSM1416014	GSE58644	Cancer	TNBC	NA
GSM1416015.CEL.gz	GSM1416015	GSE58644	Cancer	TNBC	NA
GSM1416016.CEL.gz	GSM1416016	GSE58644	Cancer	Luminal B	NA
GSM1416017.CEL.gz	GSM1416017	GSE58644	Cancer	Luminal A	NA
GSM1416018.CEL.gz	GSM1416018	GSE58644	Cancer	Luminal A	NA
GSM1416019.CEL.gz	GSM1416019	GSE58644	Cancer	Luminal A	NA
GSM1416020.CEL.gz	GSM1416020	GSE58644	Cancer	Luminal A	NA
GSM1416021.CEL.gz	GSM1416021	GSE58644	Cancer	Luminal B	NA
GSM1416022.CEL.gz	GSM1416022	GSE58644	Cancer	Luminal A	NA
GSM1416023.CEL.gz	GSM1416023	GSE58644	Cancer	Luminal A	NA
GSM1416024.CEL.gz	GSM1416024	GSE58644	Cancer	TNBC	NA
GSM1416025.CEL.gz	GSM1416025	GSE58644	Cancer	Her2	NA
GSM1416026.CEL.gz	GSM1416026	GSE58644	Cancer	TNBC	NA
GSM1416027.CEL.gz	GSM1416027	GSE58644	Cancer	TNBC	Yes
GSM1416028.CEL.gz	GSM1416028	GSE58644	Cancer	Luminal A	NA
GSM1416029.CEL.gz	GSM1416029	GSE58644	Cancer	Luminal A	NA
GSM1416030.CEL.gz	GSM1416030	GSE58644	Cancer	Luminal A	NA
GSM1416031.CEL.gz	GSM1416031	GSE58644	Cancer	Luminal A	NA
GSM1416032.CEL.gz	GSM1416032	GSE58644	Cancer	Her2	NA
GSM1416033.CEL.gz	GSM1416033	GSE58644	Cancer	Luminal A	NA
GSM1416034.CEL.gz	GSM1416034	GSE58644	Cancer	Luminal A	NA
GSM1416035.CEL.gz	GSM1416035	GSE58644	Cancer	Luminal A	NA
GSM1416036.CEL.gz	GSM1416036	GSE58644	Cancer	Luminal A	NA
GSM1416037.CEL.gz	GSM1416037	GSE58644	Cancer	Luminal A	NA
GSM1416038.CEL.gz	GSM1416038	GSE58644	Cancer	Luminal A	NA
GSM1416039.CEL.gz	GSM1416039	GSE58644	Cancer	TNBC	NA
GSM1416040.CEL.gz	GSM1416040	GSE58644	Cancer	Luminal A	NA
GSM1416041.CEL.gz	GSM1416041	GSE58644	Cancer	TNBC	Yes
GSM1416042.CEL.gz	GSM1416042	GSE58644	Cancer	Luminal A	NA
GSM1416043.CEL.gz	GSM1416043	GSE58644	Cancer	Luminal A	NA
GSM1416044.CEL.gz	GSM1416044	GSE58644	Cancer	Luminal A	NA
GSM1416045.CEL.gz	GSM1416045	GSE58644	Cancer	Luminal A	NA
GSM1416046.CEL.gz	GSM1416046	GSE58644	Cancer	Luminal B	NA
GSM1416047.CEL.gz	GSM1416047	GSE58644	Cancer	Luminal B	NA
GSM1416048.CEL.gz	GSM1416048	GSE58644	Cancer	Luminal B	NA
GSM1416049.CEL.gz	GSM1416049	GSE58644	Cancer	Luminal A	NA
GSM1416050.CEL.gz	GSM1416050	GSE58644	Cancer	Luminal A	NA
GSM1416051.CEL.gz	GSM1416051	GSE58644	Cancer	Luminal B	NA
GSM1416052.CEL.gz	GSM1416052	GSE58644	Cancer	Luminal A	NA
GSM1416053.CEL.gz	GSM1416053	GSE58644	Cancer	Luminal A	NA
GSM1416054.CEL.gz	GSM1416054	GSE58644	Cancer	Luminal A	NA
