PROBEID	ENTREZID	Coverage	Specificity	Cov_Spec
ILMN_1698171 3619 0.666666666666667 0.917 0.611333333333333
ILMN_1745282 5891 1 0.996 0.996
ILMN_1699251 83857 0.666666666666667 0.996 0.664
ILMN_1811426 83857 1 0.996 0.996
ILMN_3242067 677836 1 0.996 0.996
ILMN_1658821 NA 0.125 0.996 0.1245
ILMN_1803408 3875 0.5 0.996 0.498
ILMN_3246538 9659 0.227272727272727 0.917 0.208409090909091
ILMN_3200101 51077 1 0.838 0.838
ILMN_3237721 79613 1 0.996 0.996
ILMN_2408543 5329 1 0.996 0.996
ILMN_3243705 23042 0.91304347826087 0.996 0.909391304347826
ILMN_2115005 221472 1 0.996 0.996
ILMN_1777665 9390 1 0.996 0.996
ILMN_1736575 10155 1 0.996 0.996
ILMN_1763279 57047 1 0.996 0.996
ILMN_1674181 166647 1 0.996 0.996
ILMN_1729251 4622 1 0.996 0.996
ILMN_1752895 9482 1 0.996 0.996
ILMN_1711810 25953 0.666666666666667 0.996 0.664
ILMN_1729851 54959 1 0.996 0.996
ILMN_1741917 126014 1 0.996 0.996
ILMN_2312587 4892 1 0.996 0.996
ILMN_1676602 57709 1 0.996 0.996
ILMN_1752415 8994 1 0.996 0.996
ILMN_3230286 9774 1 0.976 0.976
ILMN_1675541 1933 1 0.996 0.996
ILMN_2054510 54828 0.833333333333333 0.996 0.83
ILMN_1720452 79836 1 0.996 0.996
ILMN_1669380 79836 0.666666666666667 0.996 0.664
ILMN_2413517 56658 1 0.996 0.996
ILMN_1766573 7012 1 0.996 0.996
ILMN_2206098 83734 1 0.996 0.996
ILMN_1789639 2331 1 0.996 0.996
ILMN_1762764 83699 1 0.996 0.996
ILMN_2293529 9465 0.2 0.996 0.1992
ILMN_3271092 129285 1 0.996 0.996
ILMN_1736527 29842 1 0.996 0.996
ILMN_1700563 79818 1 0.996 0.996
ILMN_3309006 693129 1 0.996 0.996
ILMN_1734194 51010 0.5 0.996 0.498
ILMN_1708936 51010 1 0.996 0.996
ILMN_1739609 649179 1 0.996 0.996
ILMN_2409062 23479 1 0.996 0.996
ILMN_1671452 65080 1 0.996 0.996
ILMN_3183896 100129434 1 0.996 0.996
