PROBEID	ENTREZID	Coverage	Specificity	Cov_Spec
8045171	92856	0.5	0.8430288462	0.4215144231
8045182	26469	1	0.6551538462	0.6551538462
8045216	344561	1	0.3211538462	0.3211538462
8045224	205147	1	0.7121237458	0.7121237458
8045229	50649	0.4666666667	0.7781804734	0.3631508876
8045247	55041	1	0.9152884615	0.9152884615
8045287	701	0.0079365079	0.0825641026	0.0006552707
8045289	23433	1	0.6249417249	0.6249417249
8045301	55627	1	0.5644230769	0.5644230769
8045330	643677	1	0.0580528846	0.0580528846
8045336	2863	0.0217391304	0.1926923077	0.0041889632
8045339	84970	0.5	0.1428994083	0.0714497041
8045349	4249	0.5384615385	0.694588551	0.3740092198
8045368	130013	1	0.6881868132	0.6881868132
8045381	905	0.0224215247	0.835	0.0187219731
8045398	22930	0.6666666667	0.7914148352	0.5276098901
8045425	23518	0.4	0.6917159763	0.2766863905
8045455	23190	1	0.8028846154	0.8028846154
8045470	80731	1	0.793438914	0.793438914
8045497	9729	0.2	0.246	0.0492
8045499	3176	0.125	0.8946428571	0.1118303571
8045514	339745	1	0.8028846154	0.8028846154
8045527	253782	1	0.1548076923	0.1548076923
8045533	65065	0.6666666667	0.3675480769	0.2450320513
8045539	8942	0.5	0.7225961538	0.3612980769
8045563	55843	1	0.8637931034	0.8637931034
8045583	5979	0.1428571429	0.2229230769	0.0318461538
8045587	92	0.0009062075	0.7982967033	0.0007234225
8045604	55777	1	0.7432417582	0.7432417582
8045619	26122	1	0.7905325444	0.7905325444
8045637	3800	0.0909090909	0.785042735	0.0713675214
8045664	130576	1	0.7040680473	0.7040680473
8045674	130574	1	0.6021634615	0.6021634615
8045688	7130	0.2	0.7065384615	0.1413076923
8045697	55183	1	0.7789689034	0.7789689034
8045736	114793	1	0.8152366864	0.8152366864
8045768	151188	1	0.6881868132	0.6881868132
8045776	114805	1	0.8258241758	0.8258241758
8045793	28966	0.3333333333	0.1392307692	0.0464102564
8045795	3760	0.5	0.835	0.4175
8045802	102724054	0.4	0.3096153846	0.1238461538
8045804	90167	0.6666666667	0.3043589744	0.2029059829
8045810	80133	1	0.2476923077	0.2476923077
8045814	2355	0.0588235294	0.1981538462	0.0116561086
8045816	2820	0.3636363636	0.7799450549	0.2836163836
8045835	11227	1	0.7459057072	0.7459057072
8045846	26049	1	0.116025641	0.116025641
8045848	151531	1	0.8258241758	0.8258241758
8045857	130940	0.75	0.4817307692	0.3612980769
8045860	8502	0.1176470588	0.7014102564	0.0825188537
8045882	92196	0.125	0.4638888889	0.0579861111
8045887	26648	1	0.1214423077	0.1214423077
8045889	85461	1	0.6985096154	0.6985096154
8045919	64844	1	0.9290521978	0.9290521978
8045933	10010	0.3333333333	0.6423076923	0.2141025641
8045946	10213	1	0.7459057072	0.7459057072
8045962	10716	1	0.7411242604	0.7411242604
8045974	57282	1	0.7828125	0.7828125
8046003	25801	0.75	0.8466783217	0.6350087413
8046020	6326	0.6923076923	0.5547202797	0.3840371167
8046048	80034	1	0.7386538462	0.7386538462
8046062	129446	1	0.6715034965	0.6715034965
8046078	8708	0.375	0.7627403846	0.2860276442
8046086	253782	1	0.7882867133	0.7882867133
8046099	115677	1	0.6338562753	0.6338562753
8046116	57818	1	0.8028846154	0.8028846154
8046124	10170	1	0.6176035503	0.6176035503
8046147	129880	1	0.7982967033	0.7982967033
8046160	10324	1	0.8258241758	0.8258241758
8046169	9360	1	0.7882867133	0.7882867133
8046186	151230	1	0.3795454545	0.3795454545
8046201	6741	0.5	0.5620192308	0.2810096154
8046213	130507	1	0.6881868132	0.6881868132
8046238	140469	1	0.7789689034	0.7789689034
8046276	389058	1	0.6936923077	0.6936923077
8046279	8894	0.2	0.3913461538	0.0782692308
8046283	2571	0.1212121212	0.6423076923	0.0778554779
8046306	26003	0.5	0.7298951049	0.3649475524
8046318	80067	1	0.8258241758	0.8258241758
8046333	79901	1	0.785042735	0.785042735
8046340	1781	1	0.6423076923	0.6423076923
8046346	8520	0.3333333333	0.6623798077	0.2207932692
8046360	254042	1	0.7040680473	0.7040680473
8046373	1745	1	0.7882867133	0.7882867133
8046380	3655	0.1333333333	0.8129206731	0.1083894231
8046408	5163	0.2307692308	0.8564102564	0.1976331361
8046428	11069	1	0.7551455301	0.7551455301
8046461	51776	1	0.6503365385	0.6503365385
8046488	83879	1	0.7828125	0.7828125
8046502	79634	1	0.8028846154	0.8028846154
8046512	6119	0.0714285714	0.2017094017	0.0144078144
8046515	3020	0.1111111111	0.5780769231	0.0642307692
8046524	3239	0.1111111111	0.6423076923	0.0713675214
8046527	3238	0.25	0.8152366864	0.2038091716
8046530	3237	0.3333333333	0.7225961538	0.2408653846
8046536	3236	0.1666666667	0.8028846154	0.1338141026
8046542	3235	0.1666666667	0.5839160839	0.0973193473
8046546	3234	0.4285714286	0.7707692308	0.3303296703
8046555	3233	0.0625	0.7148263027	0.0446766439
8046560	3232	0.2916666667	0.5283498759	0.1541020471
8046564	3231	0.2	0.6131118881	0.1226223776
8046573	10651	1	0.6537774725	0.6537774725
8046588	84690	1	0.1486153846	0.1486153846
8046590	220988	1	0.5223586654	0.5223586654
8046604	8540	0.0909090909	0.851431127	0.0774028297
8046628	129831	1	0.6837468983	0.6837468983
8046646	114880	1	0.7606275304	0.7606275304
8046680	65977	0.6666666667	0.7225961538	0.4817307692
8046685	10477	1	0.6517533937	0.6517533937
8046695	3676	0.5	0.6845647773	0.3422823887
8046726	6744	0.75	0.7590909091	0.5693181818
8046746	151242	1	0.7882867133	0.7882867133
8046759	54431	1	0.6644562334	0.6644562334
8046792	142679	1	0.6837468983	0.6837468983
8046804	129401	1	0.7799450549	0.7799450549
8046815	91752	1	0.6423076923	0.6423076923
8046824	401024	1	0.6423076923	0.6423076923
8046833	401024	1	0.8522928994	0.8522928994
8046836	401024	1	0.793438914	0.793438914
8046848	55854	1	0.6085020243	0.6085020243
8046861	3685	0.5555555556	0.6423076923	0.3568376068
8046895	165215	1	0.6537774725	0.6537774725
8046906	51454	1	0.6234162896	0.6234162896
8046922	1281	0.0357142857	0.6423076923	0.0229395604
8046975	84128	1	0.774958194	0.774958194
8046997	54529	1	0.7982967033	0.7982967033
8047006	150709	1	0.5839160839	0.5839160839
8047038	5378	0.5	0.7379705401	0.36898527
8047059	3183	0.4615384615	0.1182051282	0.054556213
8047062	84281	1	0.5026755853	0.5026755853
8047069	3628	0.6	0.8093076923	0.4855846154
8047078	54842	1	0.8602335165	0.8602335165
8047086	4664	0.2272727273	0.6702341137	0.1523259349
8047097	2744	0.1875	0.7298951049	0.1368553322
8047125	309	0.0160427807	0.3096153846	0.0049670917
8047127	4430	0.75	0.7707692308	0.5780769231
8047159	147687	1	0.0990769231	0.0990769231
8047161	64859	1	0.7707692308	0.7707692308
8047174	57181	1	0.7040680473	0.7040680473
8047185	26093	1	0.1076923077	0.1076923077
8047187	284992	1	0.7075420673	0.7075420673
8047217	80219	1	0.7225961538	0.7225961538
8047223	3336	0.2	0.2223372781	0.0444674556
8047228	25843	0.75	0.1106410256	0.0829807692
8047243	92935	0.0909090909	0.7459057072	0.0678096097
8047248	5334	0.1111111111	0.6644562334	0.0738284704
8047262	205327	1	0.8152366864	0.8152366864
8047265	79568	1	0.8129206731	0.8129206731
8047272	26010	1	0.7084276018	0.7084276018
8047288	151246	1	0.7459057072	0.7459057072
8047300	316	0.0070921986	0.7618836292	0.00540343
8047339	9689	0.3333333333	0.4929338104	0.1643112701
8047356	60491	1	0.5928994083	0.5928994083
8047370	57528	0.6666666667	0.1981538462	0.1321025641
8047372	4709	0.3333333333	0.7367647059	0.2455882353
8047381	8837	0.5882352941	0.7519699812	0.4423352831
8047401	8837	0.5294117647	0.4014423077	0.2125282805
8047403	843	0.0340909091	0.7882867133	0.0268734107
8047419	841	0.0616883117	0.7065384615	0.0435851648
8047441	518	0.0138888889	0.6072115385	0.0084334936
8047443	55437	1	0.6721153846	0.6721153846
8047463	9079	0.7058823529	0.3278280543	0.2314080383
8047467	65061	1	0.6423076923	0.6423076923
8047487	8324	0.1	0.7225961538	0.0722596154
8047492	100652824	1	0.6155448718	0.6155448718
8047505	100652824	1	0.7707692308	0.7707692308
8047518	51602	1	0.6924879808	0.6924879808
8047538	659	0.0047169811	0.7225961538	0.0034084724
8047559	6671	0.2307692308	0.2167307692	0.0500147929
8047565	150864	1	0.6021634615	0.6021634615
8047577	79800	1	0.6702341137	0.6702341137
8047596	65065	0.6666666667	0.62625	0.4175
