PROBEID	ENTREZID	Coverage	Specificity	Cov_Spec
1569206_at	255394	0.1666666667	0.9634615385	0.1605769231
1569207_s_at	255394	0.1666666667	0.7882867133	0.1313811189
1569213_at	400891	1	0.8758741259	0.8758741259
1569225_a_at	256380	1	0.8270979021	0.8270979021
1569240_at	340252	0.25	0.4382867133	0.1095716783
1569245_at	203076	1	0.7882867133	0.7882867133
1569246_a_at	203076	1	0.6131118881	0.6131118881
1569256_a_at	163933	1	0.5255244755	0.5255244755
1569263_at	1453	0.375	0.1576923077	0.0591346154
1569269_s_at	57522	1	0.8758741259	0.8758741259
1569277_at	79183	1	0.1195804196	0.1195804196
1569283_at	101060200	1	0.6131118881	0.6131118881
1569290_s_at	2892	0.12	0.9634615385	0.1156153846
1569291_at	192668	1	0.2391608392	0.2391608392
1569293_x_at	9696	0.4166666667	0.2417832168	0.100743007
1569302_at	85459	1	0.5255244755	0.5255244755
1569303_s_at	8601	0.1111111111	0.2627622378	0.0291958042
1569310_at	126298	1	0.8758741259	0.8758741259
1569334_at	64220	0.125	0.8758741259	0.1094842657
1569335_a_at	64220	0.125	0.6131118881	0.076638986
1569348_at	143	0.0040322581	0.2877622378	0.0011603316
1569366_a_at	148266	1	0.6131118881	0.6131118881
1569369_at	57732	0.2857142857	0.8758741259	0.2502497502
1569383_s_at	57732	1	0.9634615385	0.9634615385
1569385_s_at	54790	0.3333333333	0.6131118881	0.2043706294
1569409_x_at	55244	1	0.1688811189	0.1688811189
1569410_at	388698	1	0.7006993007	0.7006993007
1569415_at	57448	0.0833333333	0.9216783217	0.0768065268
1569431_at	5049	0.1428571429	0.6131118881	0.0875874126
1569433_at	389432	1	0.6131118881	0.6131118881
1569434_at	55195	0.3	0.6867132867	0.206013986
1569446_x_at	9620	0.1111111111	0.1333916084	0.0148212898
1569448_at	283209	1	0.3503496503	0.3503496503
1569452_at	256329	0.6666666667	0.6131118881	0.4087412587
1569465_at	729830	1	0.7882867133	0.7882867133
1569469_a_at	431707	1	0.5255244755	0.5255244755
1569470_a_at	84978	1	0.7006993007	0.7006993007
1569472_s_at	7267	0.8	0.6131118881	0.4904895105
1569481_s_at	79856	1	0.7006993007	0.7006993007
1569495_at	132320	0.25	0.7006993007	0.1751748252
1569532_a_at	389812	1	0.9634615385	0.9634615385
1569571_at	142910	1	0.8618881119	0.8618881119
1569579_at	158584	1	0.1125874126	0.1125874126
1569583_at	27	0.0012818459	0.1125874126	0.0001443197
1569587_at	6159	0.2	0.1828671329	0.0365734266
1569588_x_at	6159	0.2	0.1793706294	0.0358741259
1569594_a_at	9147	0.0625	0.7882867133	0.0492679196
1569608_x_at	4883	0.125	0.0562937063	0.0070367133
1569610_at	64799	0.2	0.6131118881	0.1226223776
1569611_a_at	64799	0.2	0.4379370629	0.0875874126
1569614_s_at	138307	1	0.763986014	0.763986014
1569616_at	647309	1	0.7882867133	0.7882867133
1569620_s_at	23247	1	0.4379370629	0.4379370629
1569624_at	79068	1	0.1298951049	0.1298951049
1569631_at	64802	0.5	0.6131118881	0.3065559441
1569638_at	6660	0.25	0.4907342657	0.1226835664
1569640_s_at	80820	1	0.6131118881	0.6131118881
1569641_at	89846	0.75	0.1125874126	0.0844405594
1569648_at	168002	0.6666666667	0.7006993007	0.4671328671
1569659_at	23072	0.5384615385	0.3295454545	0.1774475524
1569669_at	139628	1	0.7882867133	0.7882867133
1569677_a_at	157777	1	0.7006993007	0.7006993007
1569693_at	284697	1	0.6131118881	0.6131118881
1569700_s_at	4043	0.0909090909	0.1265734266	0.0115066751
1569714_at	64145	0.4285714286	0.4379370629	0.1876873127
1569719_at	79370	0.5	0.8479020979	0.423951049
1569729_a_at	136991	1	0.7006993007	0.7006993007
1569730_at	133558	1	0.5255244755	0.5255244755
1569737_a_at	57524	1	0.6131118881	0.6131118881
1569743_at	100996873	1	0.7882867133	0.7882867133
1569751_at	353149	1	0.5255244755	0.5255244755
1569772_x_at	9218	0.2	0.0562937063	0.0112587413
1569777_a_at	131368	1	0.7006993007	0.7006993007
1569784_at	101930028	1	0.8758741259	0.8758741259
1569785_at	101927943	1	0.4379370629	0.4379370629
1569792_a_at	254013	1	0.5255244755	0.5255244755
1569793_at	83733	1	0.2001748252	0.2001748252
1569796_s_at	26033	1	0.8758741259	0.8758741259
1569802_at	101928284	1	0.7882867133	0.7882867133
1569811_at	729307	1	0.8758741259	0.8758741259
1569813_at	79809	0.5	0.1125874126	0.0562937063
1569815_x_at	6801	0.3333333333	0.234965035	0.0783216783
1569819_at	791114	0.25	0.9634615385	0.2408653846
1569826_at	9899	0.2666666667	0.5115384615	0.1364102564
1569830_at	5788	0.0833333333	0.7006993007	0.0583916084
1569832_at	100131655	1	0.5888111888	0.5888111888
1569838_at	101928597	1	0.5255244755	0.5255244755
1569839_s_at	652972	0.25	0.7006993007	0.1751748252
1569840_at	101927798	1	0.8758741259	0.8758741259
1569841_x_at	101927798	1	0.7882867133	0.7882867133
1569842_at	728114	1	0.7882867133	0.7882867133
1569847_at	84952	0.1666666667	0.6832167832	0.1138694639
1569849_at	102723831	1	0.7882867133	0.7882867133
1569850_at	23266	0.0625	0.4701923077	0.0293870192
1569852_at	286006	1	0.763986014	0.763986014
1569853_at	1233	0.1666666667	0.1898601399	0.0316433566
1569857_s_at	7174	0.75	0.8758741259	0.6569055944
1569858_at	101927358	1	0.8758741259	0.8758741259
1569859_at	101929410	1	0.8758741259	0.8758741259
1569871_at	64788	0.25	0.5255244755	0.1313811189
1569872_a_at	64788	0.25	0.7006993007	0.1751748252
1569874_s_at	142910	0.6666666667	0.5255244755	0.3503496503
1569876_at	124989	0.5	0.6797202797	0.3398601399
1569879_a_at	84465	1	0.7006993007	0.7006993007
1569886_a_at	112937	1	0.7006993007	0.7006993007
1569891_at	498	0.0248756219	0.7882867133	0.0196091222
1569894_at	55012	1	0.1263986014	0.1263986014
1569898_a_at	100132707	1	0.3503496503	0.3503496503
1569905_at	374875	1	0.5255244755	0.5255244755
1569906_s_at	51230	0.25	0.7882867133	0.1970716783
1569909_at	338785	1	0.4379370629	0.4379370629
1569912_at	101928255	0.5	0.8515734266	0.4257867133
1569925_at	100996295	0.3333333333	0.3503496503	0.1167832168
1569926_s_at	142680	1	0.7882867133	0.7882867133
1569935_at	64224	1	0.2814685315	0.2814685315
1569952_x_at	6386	0.8571428571	0.4244755245	0.3638361638
1569958_at	101927220	1	0.5255244755	0.5255244755
1569961_at	101928844	1	0.6131118881	0.6131118881
1569963_at	101928525	1	0.4379370629	0.4379370629
1569969_a_at	440279	1	0.8758741259	0.8758741259
1569973_at	115290	1	0.1195804196	0.1195804196
1569986_x_at	7140	0.85	0.5435314685	0.4620017483
1569995_at	152586	1	0.2627622378	0.2627622378
1569999_at	54437	1	0.1688811189	0.1688811189
1570023_at	641515	1	0.8618881119	0.8618881119
1570057_x_at	1759	0.6923076923	0.1195804196	0.0827864443
1570065_at	348645	1	0.5923076923	0.5923076923
1570106_at	101928139	1	0.7743006993	0.7743006993
1570127_at	7594	0.1	0.1863636364	0.0186363636
1570133_at	26993	1	0.2627622378	0.2627622378
1570156_s_at	342184	0.6666666667	0.8479020979	0.5652680653
1570163_at	100852408	1	0.6131118881	0.6131118881
1570171_at	885	0.0055865922	0.3363636364	0.0018791265
1570202_a_at	57496	1	0.3503496503	0.3503496503
1570206_at	101928797	1	0.5255244755	0.5255244755
1570219_at	101927255	1	0.4379370629	0.4379370629
1570224_at	101928773	1	0.6131118881	0.6131118881
1570235_at	149047	1	0.8758741259	0.8758741259
1570237_at	2267	0.2	0.4379370629	0.0875874126
1570239_a_at	116449	1	0.7882867133	0.7882867133
1570244_at	10615	1	0.1125874126	0.1125874126
1570253_a_at	121268	1	0.7006993007	0.7006993007
1570262_at	101928851	1	0.6026223776	0.6026223776
1570270_at	101926942	1	0.7743006993	0.7743006993
1570273_at	101927907	1	0.8758741259	0.8758741259
1570274_at	203074	1	0.6131118881	0.6131118881
1570276_a_at	2626	0.15625	0.6131118881	0.0957987325
1570285_at	101927851	1	0.6131118881	0.6131118881
1570291_at	100874194	1	0.2627622378	0.2627622378
1570315_at	283902	1	0.8618881119	0.8618881119
1570327_at	140834	1	0.5255244755	0.5255244755
1570328_s_at	140834	1	0.7006993007	0.7006993007
1570337_at	344018	1	0.6061188811	0.6061188811
1570342_at	4820	0.1538461538	0.5255244755	0.0808499193
1570345_at	125336	0.125	0.1125874126	0.0140734266
